action,price,amount,cost,fee,reason,cash_after,eth_after,proceeds
buy,756.2,2.3060037027241465,1743.7999999999997,1.7437999999999998,Rebalancing: buy ETH,3254.4562000000005,4.306003702724146,
sell,1136.11,0.7207214383738937,,0.8188188333509643,Rebalancing: sell ETH,4072.4562145176137,3.585282264350252,818.8188333509643
buy,1139.32,0.35744621480511307,407.2456214517614,0.4072456214517614,Volatility buy: -8.78% drop,3664.8033474444005,3.9427284791553654,
buy,1278.69,0.2866060849341436,366.4803347444401,0.3664803347444401,Volatility buy: -5.94% drop,3297.956532365216,4.229334564089509,
sell,1278.69,0.8249398998411088,,1.0548424005278276,Rebalancing: sell ETH,4351.744090492515,3.4043946642484,1054.8424005278275
buy,1050.26,0.4143492173835541,435.17440904925155,0.4351744090492516,Volatility buy: -17.86% drop,3916.1345070342145,3.8187438816319546,
buy,1049.09,0.37328870802640524,391.61345070342145,0.39161345070342146,Volatility buy: -8.81% drop,3524.1294428800898,4.19203258965836,
buy,1169.96,0.3012179427399304,352.412944288009,0.352412944288009,Volatility buy: -5.00% drop,3171.3640856477928,4.4932505323982905,
sell,1169.96,0.8911445238694585,,1.0426034471463117,Rebalancing: sell ETH,4212.924929346958,3.602106008528832,1042.6034471463117
buy,1063.75,0.39604464670711714,421.2924929346959,0.4212924929346959,Volatility buy: -9.08% drop,3791.2111439193277,3.998150655235949,
buy,1026.19,0.3694453409134105,379.1211143919328,0.3791211143919328,Volatility buy: -7.66% drop,3411.710908413003,4.367595996149359,
buy,917.47,0.37186075930689866,341.1710908413003,0.3411710908413003,Volatility buy: -10.59% drop,3070.1986464808615,4.739456755456258,
buy,827.59,0.3709806361218552,307.0198646480862,0.30701986464808617,Volatility buy: -14.76% drop,2762.8717619681274,5.110437391578113,
sell,827.59,0.8858058332407078,,0.7330840495316775,Rebalancing: sell ETH,3495.222727450273,4.224631558337405,733.0840495316775
buy,695.08,0.5028518627280706,349.52227274502735,0.34952227274502734,Volatility buy: -16.01% drop,3145.3509324325005,4.727483421065476,
buy,913.9,0.34416795409043666,314.53509324325006,0.3145350932432501,Volatility buy: -6.24% drop,2830.501304096007,5.071651375155913,
sell,913.9,0.9870698941709918,,0.9020831762828694,Rebalancing: sell ETH,3731.6823972025936,4.084581480984921,902.0831762828693
buy,885.52,0.42141141896316225,373.1682397202594,0.3731682397202594,Volatility buy: -5.77% drop,3358.140989242614,4.505992899948083,
buy,840.1,0.3997311021595779,335.81409892426143,0.33581409892426145,Volatility buy: -5.13% drop,3021.9910762194286,4.905724002107661,
buy,751.13,0.4023259723642284,302.19910762194286,0.30219910762194285,Volatility buy: -7.91% drop,2719.4897694898636,5.308049974471889,
buy,698.83,0.3891489732109188,271.9489769489864,0.2719489769489864,Volatility buy: -6.96% drop,2447.2688435639284,5.697198947682808,
sell,698.83,1.0974290943922693,,0.7669163740341496,Rebalancing: sell ETH,3213.4183012240437,4.599769853290539,766.9163740341496
buy,682.3,0.47096853308281467,321.3418301224044,0.3213418301224044,Volatility buy: -6.14% drop,2891.755129271517,5.070738386373353,
buy,613.15,0.4716227887583001,289.1755129271517,0.2891755129271517,Volatility buy: -11.13% drop,2602.290440831438,5.542361175131654,
buy,549.79,0.4733244403920476,260.22904408314383,0.26022904408314385,Volatility buy: -8.45% drop,2341.801167704211,6.015685615523701,
buy,486.25,0.48160435325536477,234.1801167704211,0.2341801167704211,Volatility buy: -7.03% drop,2107.3868708170194,6.497289968779065,
buy,448.78,0.4695812805421408,210.73868708170195,0.21073868708170196,Volatility buy: -7.71% drop,1896.4374450482358,6.966871249321206,
sell,448.78,1.3703198622209685,,0.6149721477675262,Rebalancing: sell ETH,2510.7946206679944,5.596551387100237,614.9721477675262
buy,383.9,0.6540230843104962,251.07946206679946,0.2510794620667995,Volatility buy: -13.91% drop,2259.464079139128,6.250574471410733,
